"Poly_No","Coord_order","Longitude","Latitude","Hole","Group","VME_Csquare","VME_Habitat","VME_Indicator","VME_Elements"
1,"1_1",-7.225,36,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_2",-7.225,35.975,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_3",-7.25,35.975,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_4",-7.275,35.975,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_5",-7.3,35.975,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_6",-7.325,35.975,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_7",-7.325,36,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_8",-7.325,36.025,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_9",-7.325,36.05,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_10",-7.325,36.075,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_11",-7.3,36.075,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_12",-7.275,36.075,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_13",-7.25,36.075,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_14",-7.225,36.075,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_15",-7.225,36.05,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_16",-7.225,36.025,FALSE,"1.1","VME","Cold seeps","NULL",NA
1,"1_17",-7.225,36,FALSE,"1.1","VME","Cold seeps","NULL",NA
2,"2_1",-7.975,36.1,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_2",-7.975,36.075,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_3",-8,36.075,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_4",-8.025,36.075,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_5",-8.05,36.075,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_6",-8.075,36.075,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_7",-8.075,36.1,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_8",-8.075,36.125,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_9",-8.075,36.15,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_10",-8.075,36.175,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_11",-8.075,36.2,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_12",-8.075,36.225,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_13",-8.075,36.25,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_14",-8.075,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_15",-8.05,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_16",-8.025,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_17",-8,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_18",-7.975,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_19",-7.95,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_20",-7.925,36.275,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_21",-7.925,36.3,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_22",-7.925,36.325,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_23",-7.925,36.35,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_24",-7.925,36.375,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_25",-7.9,36.375,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_26",-7.875,36.375,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_27",-7.85,36.375,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_28",-7.825,36.375,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
2,"2_29",-7.825,36.35,FALSE,"2.1","Low_ Medium","NULL","Sea-pen_ Gorgonian","Bank"
